OrgID,EnrollDate,ChurnDate,OrgSize,Industry,IndustryGroup,Enrollment Plan,PromoType,Acquisition Channel,F28 Active Rate,Avg Lifetime Active,F28 Cc Flag,eLTV/CAC,Churned,Enrollment Duration,User_id
402667,2021-10-05,,2-6,Carpet Cleaning,Carpet Cleaning,Large,Special - One Month,Marketing - Unpaid,0.536,0.643,0,5.8,0,430.0,40266720211005
402690,2021-10-05,2021-12-04,2-6,Pool & Spa,Other,Small,One Month,Sales,0.036000000000000004,0.013000000000000001,0,2.3,1,60.0,40269020211005
402693,2021-10-05,2021-12-10,0-1,Plumbing,Plumbing,Small,One Month,Marketing - Unpaid,0.35700000000000004,0.273,0,2.7,1,66.0,40269320211005
402694,2021-10-10,,2-6,Home Cleaning,Home Cleaning,Starter,No Promo,Marketing - Unpaid,0.25,0.12300000000000001,0,0.9,0,425.0,40269420211010
402695,2021-10-05,,0-1,General Contractor,General Contractor,Starter,One Month,Sales,0.0,0.0,0,0.9,0,430.0,40269520211005
402698,2021-10-05,,0-1,Restoration,Other,Small,One Month,Sales,0.46399999999999997,0.38299999999999995,0,1.7,0,430.0,40269820211005
402712,2021-10-08,,2-6,Heating & Air Conditioning,Heating & Air Conditioning,Small,One Month,Sales,0.7140000000000001,0.657,1,3.9,0,427.0,40271220211008
402713,2021-10-05,,0-1,Home Cleaning,Home Cleaning,Small,One Month,Sales,0.0,0.013000000000000001,0,1.5,0,430.0,40271320211005
402717,2021-10-05,,2-6,Roof & Attic,Other,Small,Special - One Month,Sales,0.179,0.08199999999999999,0,2.8,0,430.0,40271720211005
402723,2021-10-05,,11+,Water Treatment,Other,Large,2+ month,Marketing - Paid,0.28600000000000003,0.506,1,6.2,0,430.0,40272320211005
402724,2021-10-05,,2-6,Fireplace & Chimney,Other,Small,One Month,Sales,0.0,0.013000000000000001,0,2.2,0,430.0,40272420211005
402726,2021-10-05,,0-1,General Contractor,General Contractor,Starter,One Month,Marketing - Unpaid,0.071,0.17800000000000002,0,0.9,0,430.0,40272620211005
402729,2021-10-05,,0-1,Air Duct Cleaning,Other,Starter,One Month,Marketing - Paid,0.821,0.753,1,0.8,0,430.0,40272920211005
